"Post Title",Price,Price,Review
"Cutlass Cruiser",649885544-4,14,"consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus"
"Ram Van B150",740688454-0,23,"aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean"
F450,252802153-4,76,"amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi"
"Ram Van B350",943351291-X,1,"elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non"
626,957218182-3,44,"bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui"
Galant,750869277-2,94,"phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit"
"Tacoma Xtra",569374948-7,36,"nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac"
"Dakota Club",684375815-0,44,"aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed"
Sunbird,113880806-7,45,"sem praesent id massa id nisl venenatis lacinia aenean sit"
Toronado,8236836711,96,"habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate"
